"","vote","party.id","class","ethnicity","gender","mobility","inequality","btry","immcult","immcrime","immecon","bviolent","bhard","wappr","wfavors","wcontrol","jobworry","econstate","econgood","econnext","econfin","econahead","anxiety","bv","racism","xphobia"
"1",1,"rep","middle","white","male",3,5,5,4,4,4,6,5,2,4,2,3,4,5,1,3,2,8,5,15,12
"2",1,"rep","don't know/refuse","white","male",2,41,3,1,4,4,5,3,3,3,1,1,3,3,3,1,4,6,4,10,9
"3",0,"ind","working","white","male",2,-9,5,5,3,3,6,5,2,4,3,2,3,4,2,2,2,6,5,15,11
"4",0,NA,"middle","white","male",3,40,4,2,2,4,5,4,3,4,3,1,3,3,3,1,2,4,4,12,8
"5",0,"ind","don't know/refuse","white","female",2,27,4,3,2,3,4,3,3,2,4,1,4,4,3,3,5,9,3,10,8
"6",1,NA,"upper","white","male",2,50,4,3,3,4,-9,NA,2,2,5,2,3,4,3,2,3,7,NA,NA,10
"7",0,"dem","don't know/refuse","nonwhite","male",1,34,5,3,2,2,4,5,2,3,3,1,1,4,3,1,1,3,3,13,7
"8",1,"ind","working","white","female",2,5,2,2,4,3,5,4,3,5,2,1,4,4,3,2,4,7,4,10,9
"9",0,"ind","working",NA,"male",3,10,4,4,4,4,7,5,3,4,2,1,3,3,4,2,4,7,5,14,12
"10",0,"ind","don't know/refuse","white","female",2,81,3,3,3,3,4,3,3,4,3,3,2,3,3,3,3,9,3,9,9
"11",0,"ind","don't know/refuse","white","female",-6,-6,NA,NA,NA,NA,-6,NA,5,-6,5,1,-6,4,4,NA,NA,NA,NA,NA,NA
"12",0,"ind","don't know/refuse","white","female",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,NA,-6,3,2,NA,NA,NA,NA,NA,NA
"13",0,NA,"working","nonwhite","male",2,50,2,2,1,2,5,2,3,4,4,3,2,3,3,2,3,8,4,8,5
"14",1,"dem","middle","white","male",2,41,4,1,4,1,4,3,2,3,2,1,5,4,2,1,3,5,3,10,6
"15",0,"dem","don't know/refuse","white","female",3,81,2,2,2,3,4,1,5,5,5,1,2,2,3,3,3,7,3,6,7
"16",0,"dem","lower","white","male",2,38,4,2,2,5,3,1,2,4,2,NA,5,5,3,3,4,NA,2,7,9
"17",0,"dem","upper","nonwhite","male",2,52,2,1,1,1,4,2,3,4,2,1,2,2,3,2,3,6,3,7,3
"18",1,"rep","middle","white","male",2,50,4,1,1,4,2,4,3,4,2,NA,3,4,3,3,1,NA,1,9,6
"19",0,"dem","middle","white","female",2,17,1,1,1,1,5,2,5,5,5,1,3,2,3,2,4,7,4,7,3
"20",0,"rep","middle","white","female",1,80,4,2,3,4,4,4,2,4,2,NA,3,2,4,2,1,NA,3,11,9
"21",0,"rep","middle","white","female",2,32,5,3,3,4,5,4,4,4,5,NA,4,4,3,4,4,NA,4,13,10
"22",1,"rep","don't know/refuse","white","female",2,41,5,4,4,4,5,4,4,4,4,1,4,4,3,5,4,10,4,13,12
"23",0,NA,"middle","white","female",2,52,4,3,2,3,6,2,-9,4,-9,1,4,2,3,3,3,7,5,11,8
"24",1,NA,"don't know/refuse","white","female",2,50,4,2,3,3,3,4,3,4,-9,NA,4,4,4,1,3,NA,2,10,8
"25",1,"ind","working",NA,"male",2,50,4,4,4,4,2,4,4,4,3,2,4,4,3,2,3,7,1,9,12
"26",0,"ind","don't know/refuse","nonwhite","male",2,800,5,5,5,5,4,5,2,2,3,1,3,5,3,1,5,7,3,13,15
"27",0,"ind","middle","white",NA,2,27,5,3,3,4,4,4,4,4,3,2,2,3,2,4,3,9,3,12,10
"28",0,"ind","don't know/refuse","white","female",2,38,2,4,2,2,5,4,3,5,4,1,3,5,3,3,4,8,4,10,8
"29",0,"ind","middle","white","male",2,26,1,1,1,1,3,1,5,5,5,NA,2,2,2,1,3,NA,2,4,3
"30",0,"ind","don't know/refuse","white","female",2,81,5,4,4,3,6,4,2,4,2,NA,3,5,3,1,4,NA,5,14,11
"31",0,"dem","don't know/refuse","white","female",2,24,4,1,1,2,5,2,5,4,4,1,2,2,5,4,3,8,4,10,4
"32",0,"rep","middle","white","male",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,2,3,-6,4,2,NA,NA,NA,NA,NA,NA
"33",1,"rep","don't know/refuse","white","female",2,50,4,2,4,2,3,2,3,2,4,NA,4,5,3,3,3,NA,2,8,8
"34",1,"ind","middle","white","male",2,38,5,1,3,5,6,3,5,2,3,NA,3,5,1,4,2,NA,5,13,9
"35",0,"rep","working","white","female",2,79,3,NA,2,1,4,4,2,3,2,1,1,4,2,1,5,7,3,10,NA
"36",0,"dem","don't know/refuse","white","male",2,27,1,2,2,2,5,1,2,4,5,1,1,2,3,2,3,6,4,6,6
"37",0,"ind","don't know/refuse","white","female",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,NA,-6,4,1,NA,NA,NA,NA,NA,NA
"38",1,"rep","don't know/refuse","white","male",2,13,5,2,2,2,6,5,2,2,2,2,5,5,5,3,4,9,5,15,6
"39",0,"ind","middle","nonwhite","male",1,41,5,4,5,4,4,5,4,4,1,NA,2,3,3,1,1,NA,3,13,13
"40",0,"dem","working","nonwhite","female",3,32,1,1,1,1,5,1,5,4,4,1,2,3,2,1,2,4,4,6,3
"41",0,"ind","middle","white",NA,2,800,5,2,4,3,-5,4,-9,3,-9,NA,4,4,-2,2,4,NA,NA,NA,9
"42",1,"rep","don't know/refuse","white","female",2,24,5,2,3,4,5,3,3,4,4,1,4,4,3,3,4,8,4,12,9
"43",0,"dem","middle","nonwhite","female",2,34,2,2,3,5,4,5,3,5,3,NA,1,2,-2,5,2,NA,3,10,10
"44",1,"rep","working","white","male",3,41,5,3,3,1,6,5,4,4,5,1,4,5,1,1,3,5,5,15,7
"45",1,"ind","lower","white","female",2,69,5,3,2,3,4,NA,3,2,3,NA,5,5,4,5,4,NA,3,NA,8
"46",0,"dem","middle","white","female",2,32,2,1,1,2,2,1,4,4,5,1,2,2,3,2,2,5,1,4,4
"47",0,"ind","don't know/refuse","nonwhite","female",3,27,4,1,3,1,7,4,2,3,2,3,3,3,1,4,4,11,5,13,5
"48",1,"ind","don't know/refuse","white","male",2,81,5,1,2,2,5,5,3,3,2,5,5,5,4,4,4,13,4,14,5
"49",0,"dem","middle",NA,"male",2,26,1,2,2,3,5,1,3,5,3,1,2,3,2,1,3,5,4,6,7
"50",0,"dem","don't know/refuse","nonwhite","male",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,3,-6,4,2,NA,NA,NA,NA,NA,NA
"51",0,"ind","don't know/refuse","white","female",-6,-6,NA,NA,NA,NA,-6,NA,1,-6,-9,1,-6,3,3,NA,NA,NA,NA,NA,NA
"52",0,"dem","don't know/refuse","white","female",2,80,4,2,2,4,4,4,4,4,5,1,3,3,2,2,2,5,3,11,8
